,time,latitude,longitude,height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio,synced_time,speed_km_h,time_diff_seconds,flagged,patch_id,fail_reasons
0,2023-09-05 09:04:35.400000,34.675581723,33.043287317,31.0223,2,7,0.1299,0.1529,0.3839,0.0644,0.194,0.1595,0.4,0.0,2023-09-05 09:04:18.944755555,0.0,0.0,False,,passed
1,2023-09-05 09:04:35.600000,34.67558164,33.043285835,30.9984,2,7,0.1283,0.1524,0.381,0.0627,0.1927,0.1567,0.6,0.0,2023-09-05 09:04:19.144755555,2.4503867805666877,0.2,False,,passed
2,2023-09-05 09:04:35.800000,34.675581959,33.043285249,30.9932,2,7,0.1277,0.1522,0.3793,0.0618,0.192,0.1552,0.8,0.0,2023-09-05 09:04:19.344755555,1.157690213349904,0.2,False,,passed
3,2023-09-05 09:04:36,34.67558214,33.043285476,30.9188,2,8,0.1272,0.1518,0.3774,0.0609,0.1911,0.1539,0.0,0.0,2023-09-05 09:04:19.544755555,0.5204379002964289,0.2,False,,passed
4,2023-09-05 09:04:36.200000,34.675582122,33.043285993,30.9269,2,8,0.1273,0.154,0.3788,0.0629,0.1937,0.1547,0.2,0.0,2023-09-05 09:04:19.744755555,0.8536240291319219,0.2,False,,passed
5,2023-09-05 09:04:36.400000,34.67558173,33.04328548,30.8702,2,8,0.1269,0.1508,0.374,0.061,0.1892,0.1528,0.4,0.0,2023-09-05 09:04:19.944755555,1.152768572975057,0.2,False,,passed
6,2023-09-05 09:04:36.600000,34.675581569,33.043285336,30.86,2,8,0.1265,0.1498,0.3718,0.0603,0.1875,0.1519,0.6,0.0,2023-09-05 09:04:20.144755555,0.399730485102417,0.2,False,,passed
7,2023-09-05 09:04:36.800000,34.675580958,33.043285796,30.803,2,7,0.1264,0.15,0.3718,0.0605,0.1879,0.1518,0.8,0.0,2023-09-05 09:04:20.344755555,1.436794504454174,0.2,False,,passed
8,2023-09-05 09:04:37,34.675579491,33.043285387,30.739,2,7,0.1263,0.1513,0.3736,0.0614,0.19,0.1522,0.0,0.0,2023-09-05 09:04:20.544755555,3.0060375400604378,0.2,False,,passed
9,2023-09-05 09:04:37.200000,34.675580092,33.043284423,30.7854,2,8,0.1259,0.1518,0.3733,0.0611,0.1906,0.1514,0.2,0.0,2023-09-05 09:04:20.744755555,1.9922704277623036,0.2,False,,passed
10,2023-09-05 09:04:37.400000,34.675580568,33.043283011,30.7447,2,8,0.1255,0.1481,0.3668,0.0588,0.1846,0.1493,0.4,0.0,2023-09-05 09:04:20.944755555,2.515763735502324,0.2,False,,passed
11,2023-09-05 09:04:37.600000,34.675580541,33.043282521,30.6863,2,9,0.125,0.1475,0.3646,0.0576,0.1833,0.1478,0.6,0.0,2023-09-05 09:04:21.144755555,0.8101225680454371,0.2,False,,passed
12,2023-09-05 09:04:37.800000,34.675581153,33.043283356,30.6488,2,8,0.1246,0.1472,0.3633,0.0569,0.1827,0.1468,0.8,0.0,2023-09-05 09:04:21.344755555,1.8414129820402338,0.2,False,,passed
13,2023-09-05 09:04:38,34.675581723,33.043284896,30.6945,2,8,0.1245,0.1469,0.3624,0.0569,0.1822,0.1465,0.0,0.0,2023-09-05 09:04:21.544755555,2.7837719605732567,0.2,False,,passed
14,2023-09-05 09:04:38.200000,34.675582072,33.043286172,30.565,2,9,0.124,0.1463,0.3603,0.0558,0.181,0.1451,0.2,0.0,2023-09-05 09:04:21.744755555,2.2173103385561888,0.2,False,,passed
15,2023-09-05 09:04:38.400000,34.675582433,33.043287551,30.5361,2,8,0.1237,0.1461,0.359,0.0551,0.1804,0.1442,0.4,0.0,2023-09-05 09:04:21.944755555,2.3863415476323153,0.2,False,,passed
16,2023-09-05 09:04:38.600000,34.675582755,33.043289367,30.6224,2,9,0.1233,0.1456,0.3571,0.0544,0.1794,0.1431,0.6,0.0,2023-09-05 09:04:22.144755555,3.0639811717073955,0.2,False,,passed
17,2023-09-05 09:04:38.800000,34.675583915,33.043290852,30.6025,2,8,0.124,0.1461,0.3554,0.0509,0.1786,0.1416,0.8,0.0,2023-09-05 09:04:22.344755555,3.371419035838878,0.2,False,,passed
18,2023-09-05 09:04:39,34.675585454,33.043291798,30.4522,2,7,0.1245,0.147,0.3545,0.0477,0.1787,0.1401,0.0,0.0,2023-09-05 09:04:22.544755555,3.4466473694978808,0.2,False,,passed
19,2023-09-05 09:04:39.200000,34.675586236,33.043293562,30.4387,2,7,0.1254,0.1474,0.3554,0.048,0.1795,0.1411,0.2,0.0,2023-09-05 09:04:22.744755555,3.3024672147581455,0.2,False,,passed
20,2023-09-05 09:04:39.400000,34.675586767,33.043295695,30.4971,2,7,0.1242,0.147,0.3531,0.0462,0.1784,0.1388,0.4,0.0,2023-09-05 09:04:22.944755555,3.6749798960048388,0.2,False,,passed
21,2023-09-05 09:04:39.600000,34.675586695,33.043297008,30.5544,2,7,0.1228,0.1452,0.3516,0.0493,0.1769,0.1387,0.6,0.0,2023-09-05 09:04:23.144755555,2.1707514111372244,0.2,False,,passed
22,2023-09-05 09:04:39.800000,34.6755868,33.043297939,30.6423,2,5,0.1236,0.1463,0.3519,0.048,0.1756,0.1364,0.8,0.0,2023-09-05 09:04:23.344755555,1.5500658614679035,0.2,False,,passed
23,2023-09-05 09:04:40,34.675586347,33.043299449,30.7973,2,6,0.1243,0.1502,0.3545,0.0485,0.1702,0.1327,0.0,0.0,2023-09-05 09:04:23.544755555,2.6501206047139414,0.2,False,,passed
24,2023-09-05 09:04:40.200000,34.675587202,33.043300999,30.7413,2,7,0.1254,0.1439,0.3512,0.046,0.175,0.1299,0.2,0.0,2023-09-05 09:04:23.744755555,3.0745436729803886,0.2,False,,passed
25,2023-09-05 09:04:40.400000,34.675587733,33.043302013,30.7462,2,6,0.1255,0.1459,0.3515,0.0476,0.1713,0.1278,0.4,0.0,2023-09-05 09:04:23.944755555,1.9804864728996425,0.2,False,,passed
26,2023-09-05 09:04:40.600000,34.675588072,33.043303298,30.6664,2,6,0.1262,0.1435,0.3486,0.0469,0.1736,0.1292,0.6,0.0,2023-09-05 09:04:24.144755555,2.2252541020077627,0.2,False,,passed
27,2023-09-05 09:04:40.800000,34.675587249,33.043304271,30.6553,2,6,0.1241,0.1443,0.346,0.044,0.1734,0.1335,0.8,0.0,2023-09-05 09:04:24.344755555,2.297189729738352,0.2,False,,passed
28,2023-09-05 09:04:41,34.675586707,33.043305131,30.5927,2,5,0.1252,0.1471,0.3474,0.045,0.17,0.1323,0.0,0.0,2023-09-05 09:04:24.544755555,1.78438322452941,0.2,False,,passed
29,2023-09-05 09:04:41.200000,34.675586313,33.043306227,30.603,2,5,0.1262,0.1524,0.3527,0.051,0.1621,0.1284,0.2,0.0,2023-09-05 09:04:24.744755555,1.9717708892975971,0.2,False,,passed
30,2023-09-05 09:04:41.400000,34.675586174,33.043306658,30.6029,2,5,0.1267,0.1565,0.3572,0.0553,0.1552,0.125,0.4,0.0,2023-09-05 09:04:24.944755555,0.7632535602030043,0.2,False,,passed
31,2023-09-05 09:04:41.600000,34.675586136,33.043306615,30.6022,2,5,0.1269,0.158,0.359,0.0566,0.1522,0.1235,0.6,0.0,2023-09-05 09:04:25.144755555,0.1038720942656923,0.2,False,,passed
32,2023-09-05 09:04:41.800000,34.675585844,33.043307735,30.4664,2,5,0.127,0.1583,0.3591,0.0566,0.1515,0.123,0.8,0.0,2023-09-05 09:04:25.344755555,1.9374240810198242,0.2,False,,passed
33,2023-09-05 09:04:42,34.675585328,33.043307468,30.4801,2,5,0.1268,0.1577,0.3584,0.0563,0.1518,0.123,0.0,0.0,2023-09-05 09:04:25.544755555,1.1205555869304342,0.2,False,,passed
34,2023-09-05 09:04:42.200000,34.675583512,33.043309016,30.4401,2,5,0.1267,0.1573,0.3575,0.0558,0.1523,0.123,0.2,0.0,2023-09-05 09:04:25.744755555,4.435165704826778,0.2,False,,passed
35,2023-09-05 09:04:42.400000,34.675582075,33.043309764,30.3389,2,5,0.1266,0.1569,0.3567,0.0552,0.1526,0.1231,0.4,0.0,2023-09-05 09:04:25.944755555,3.123500705879731,0.2,False,,passed
36,2023-09-05 09:04:42.600000,34.675580927,33.04330892,30.4232,2,5,0.1265,0.1567,0.356,0.0546,0.1528,0.1231,0.6,0.0,2023-09-05 09:04:26.144755555,2.682049123592598,0.2,False,,passed
37,2023-09-05 09:04:42.800000,34.675579388,33.043310508,30.3981,2,5,0.1265,0.1566,0.3555,0.0542,0.1528,0.123,0.8,0.0,2023-09-05 09:04:26.344755555,4.038132939957406,0.2,False,,passed
38,2023-09-05 09:04:43,34.675578498,33.043310782,30.3051,2,4,0.1273,0.1565,0.3595,0.0552,0.1542,0.1265,0.0,0.0,2023-09-05 09:04:26.544755555,-1.0,0.2,False,,num_satellites
39,2023-09-05 09:04:43.200000,34.675577608,33.043311056,30.2993,2,5,0.1264,0.1562,0.3552,0.0542,0.1527,0.1229,0.2,0.0,2023-09-05 09:04:26.744755555,2.724229834659715,0.2,False,,passed
40,2023-09-05 09:04:43.400000,34.675576738,33.0433114282,30.209,2,4,0.1274,0.1565,0.3593,0.0553,0.1538,0.1261,0.4,0.0,2023-09-05 09:04:26.944755555,-1.0,0.2,False,,num_satellites
41,2023-09-05 09:04:43.600000,34.675575867999996,33.0433118004,30.1888,2,4,0.1306,0.1569,0.3791,0.0576,0.157,0.1389,0.6,0.0,2023-09-05 09:04:27.144755555,-1.0,0.2,False,,num_satellites
42,2023-09-05 09:04:43.800000,34.675574998,33.043312172600004,30.1592,2,4,0.1372,0.1573,0.4301,0.0606,0.1621,0.1667,0.8,0.0,2023-09-05 09:04:27.344755555,-1.0,0.2,False,,num_satellites
43,2023-09-05 09:04:44,34.675574128,33.0433125448,30.1139,2,4,0.1399,0.1817,0.3814,0.0465,0.119,0.0997,0.0,0.0,2023-09-05 09:04:27.544755555,-1.0,0.2,False,,num_satellites
44,2023-09-05 09:04:44.200000,34.675573258,33.043312917,30.103,2,5,0.1568,0.2142,0.4269,0.0706,-0.0719,-0.0322,0.2,0.0,2023-09-05 09:04:27.744755555,3.4113560315943636,0.2,False,,passed
45,2023-09-05 09:04:44.400000,34.675572795,33.043312048588234,29.8184,5,3,0.1702,0.2571,0.4949,0.1379,-0.215,-0.1302,0.4,0.0,2023-09-05 09:04:27.944755555,-1.0,0.2,False,,"Q_value, speed, num_satellites"
46,2023-09-05 09:04:44.600000,34.675572332,33.043311180176474,29.6589,5,3,0.2201,0.3361,0.6064,0.2017,-0.348,-0.2236,0.6,0.0,2023-09-05 09:04:28.144755555,-1.0,0.2,False,,"Q_value, num_satellites"
